q 	 gradient 	 +/- 
8.5	0.437910230347	4.23139932446e-05
8.6	0.4325975636	4.39049253073e-05
8.7	0.427046547446	4.56526072961e-05
8.8	0.421260757097	4.75285612895e-05
8.9	0.415245112423	4.93484272452e-05
9.0	0.40901446595	5.11919911331e-05
9.1	0.402582708012	5.29723843666e-05
9.2	0.395961014793	5.44014318967e-05
9.3	0.389169237878	5.55696557986e-05
9.4	0.382224948824	5.65356888053e-05
9.5	0.375135225044	5.70115898315e-05
9.6	0.367909323073	5.69248478579e-05
9.7	0.36055397099	5.62165755551e-05
9.8	0.353073451112	5.48057717934e-05
9.9	0.345471167423	5.26098151669e-05
10.0	0.337752578284	4.9627971676e-05
10.1	0.329927763963	4.60886720116e-05
10.2	0.321989711095	4.14851966402e-05
10.3	0.313942945315	3.56044928742e-05
10.4	0.305816004901	2.91881924225e-05
10.5	0.297595151744	2.17959235392e-05
10.6	0.289288583076	1.42986037071e-05
10.7	0.280929848095	1.0910668571e-05
10.8	0.272478958136	1.82967541051e-05
10.9	0.263988427873	3.04429207676e-05
11.0	0.255410771777	4.57923763169e-05
11.1	0.246760633061	6.40259867684e-05
11.2	0.238038482989	8.34562152844e-05
11.3	0.229187138818	0.000106329232806
11.4	0.220200956898	0.00013253464025
11.5	0.211067852398	0.00016104629464
11.6	0.201718418618	0.000193479052673
11.7	0.19210857528	0.000230504746881
11.8	0.182189356478	0.000272836407971
11.9	0.171905148042	0.000321442757117
12.0	0.161232669929	0.000376375605656
12.1	0.150133066995	0.000439850178266
12.2	0.138569677851	0.000512843417202
12.3	0.126577822534	0.00059691503086
12.4	0.114248791694	0.000691956486963
12.5	0.101695917736	0.000798967085067
12.6	0.108433089779	0.000468841688582
12.7	0.112351332801	0.000669032438882
12.8	0.107003387222	0.000627960050268
12.9	0.0735933486728	0.000821818265319
13.0	0.106803827868	0.000261648660953
13.1	0.0958307495738	0.00199177035168
13.2	0.10177606744	0.000617576742824
13.3	0.1111827457	0.00164214874283
13.4	0.109120173056	0.000389676755723
13.5	0.114762716076	0.000327303371299
