q 	 time 
8.5	11.259382819
8.6	11.259382819
8.7	11.259382819
8.8	11.259382819
8.9	11.0091743119
9.0	10.7589658048
9.1	10.7589658048
9.2	10.7589658048
9.3	10.5087572977
9.4	10.2585487907
9.5	10.2585487907
9.6	10.0083402836
9.7	10.0083402836
9.8	9.50792326939
9.9	9.50792326939
10.0	9.2577147623
10.1	9.00750625521
10.2	8.75729774812
10.3	8.50708924103
10.4	8.50708924103
10.5	8.00667222686
10.6	7.75646371977
10.7	7.75646371977
10.8	7.50625521268
10.9	7.25604670559
11.0	7.0058381985
11.1	6.50542118432
11.2	6.25521267723
11.3	6.00500417014
11.4	5.75479566305
11.5	5.25437864887
11.6	5.00417014178
11.7	5.00417014178
11.8	4.50375312761
11.9	4.25354462052
12.0	3.75312760634
12.1	3.50291909925
12.2	3.00250208507
12.3	2.75229357798
12.4	2.2518765638
12.5	1.75145954962
12.6	1.50125104254
12.7	0.750625521268
12.8	0.250208507089
12.9	-0.500417014178
13.0	-1.25104253545
13.1	-1.75145954962
13.2	-2.50208507089
13.3	-3.75312760634
13.4	-4.50375312761
13.5	-6.00500417014
